province,dates,change_cases,change_fatalities,change_tests,change_hospitalizations,data » change_criticals,data » change_recoveries,data » total_cases,total_fatalities,data » total_tests,total_hospitalizations,data » total_criticals,data » total_recoveries
qc,2020-01-25,,,0,0,0,0,0,0,0,0,0,0
,2020-01-26,,,0,0,0,0,0,0,0,0,0,0
,2020-01-27,,,0,0,0,0,0,0,0,0,0,0
,2020-01-28,,,0,0,0,0,0,0,0,0,0,0
,2020-01-29,,,0,0,0,0,0,0,0,0,0,0
,2020-01-30,,,0,0,0,0,0,0,0,0,0,0
,2020-01-31,,,0,0,0,0,0,0,0,0,0,0
,2020-02-01,,,0,0,0,0,0,0,0,0,0,0
,2020-02-02,,,0,0,0,0,0,0,0,0,0,0
,2020-02-03,,,0,0,0,0,0,0,0,0,0,0
,2020-02-04,,,0,0,0,0,0,0,0,0,0,0
,2020-02-05,,,0,0,0,0,0,0,0,0,0,0
,2020-02-06,,,0,0,0,0,0,0,0,0,0,0
,2020-02-07,,,0,0,0,0,0,0,0,0,0,0
,2020-02-08,,,0,0,0,0,0,0,0,0,0,0
,2020-02-09,,,0,0,0,0,0,0,0,0,0,0
,2020-02-10,,,0,0,0,0,0,0,0,0,0,0
,2020-02-11,,,0,0,0,0,0,0,0,0,0,0
,2020-02-12,,,0,0,0,0,0,0,0,0,0,0
,2020-02-13,,,0,0,0,0,0,0,0,0,0,0
,2020-02-14,,,0,0,0,0,0,0,0,0,0,0
,2020-02-15,,,0,0,0,0,0,0,0,0,0,0
,2020-02-16,,,0,0,0,0,0,0,0,0,0,0
,2020-02-17,,,0,0,0,0,0,0,0,0,0,0
,2020-02-18,,,0,0,0,0,0,0,0,0,0,0
,2020-02-19,,,0,0,0,0,0,0,0,0,0,0
,2020-02-20,,,0,0,0,0,0,0,0,0,0,0
,2020-02-21,,,0,0,0,0,0,0,0,0,0,0
,2020-02-22,,,0,0,0,0,0,0,0,0,0,0
,2020-02-23,,,0,0,0,0,0,0,0,0,0,0
,2020-02-24,,,0,0,0,0,0,0,0,0,0,0
,2020-02-25,,,0,0,0,0,0,0,0,0,0,0
,2020-02-26,,,0,0,0,0,0,0,0,0,0,0
,2020-02-27,1,0,92,0,0,0,1,0,92,0,0,0
,2020-02-28,,,13,0,0,0,1,0,105,0,0,0
,2020-02-29,,,34,0,0,0,1,0,139,0,0,0
,2020-03-01,,,0,0,0,0,1,0,139,0,0,0
,2020-03-02,,,51,0,0,0,1,0,190,0,0,0
,2020-03-03,,,14,0,0,0,1,0,204,0,0,0
,2020-03-04,,,0,0,0,0,1,0,204,0,0,0
,2020-03-05,2,0,40,0,0,0,3,0,244,0,0,0
,2020-03-06,,,19,0,0,0,3,0,263,0,0,0
,2020-03-07,,,43,0,0,0,3,0,306,0,0,0
,2020-03-08,1,0,38,0,0,0,4,0,344,0,0,0
,2020-03-09,1,0,36,0,0,0,5,0,380,0,0,0
,2020-03-10,2,0,90,0,0,0,7,0,470,0,0,0
,2020-03-11,2,0,108,0,0,0,9,0,578,0,0,0
,2020-03-12,8,0,233,0,0,0,17,0,811,0,0,0
,2020-03-13,,,285,0,0,0,17,0,1096,0,0,0
,2020-03-14,7,0,327,0,0,0,24,0,1423,0,0,0
,2020-03-15,15,0,886,0,0,0,39,0,2309,0,0,0
,2020-03-16,11,0,820,2,0,0,50,0,3129,2,0,0
,2020-03-17,24,0,1723,3,0,0,74,0,4852,5,0,0
,2020-03-18,20,1,455,1,4,1,94,1,5307,6,4,1
,2020-03-19,27,0,1145,1,0,0,121,1,6452,7,4,1
,2020-03-20,18,0,1353,3,2,0,139,1,7805,10,6,1
,2020-03-21,42,3,1618,10,4,0,181,4,9423,20,10,1
,2020-03-22,38,0,-8418,4,3,0,219,4,1005,24,13,1
,2020-03-23,409,0,10834,21,7,0,628,4,11839,45,20,1
,2020-03-24,412,0,1377,22,11,0,1040,4,13216,67,31,1
,2020-03-25,299,2,14757,11,4,0,1339,6,27973,78,35,1
,2020-03-26,290,2,5510,28,8,0,1629,8,33483,106,43,1
,2020-03-27,392,10,873,35,7,28,2021,18,34356,141,50,29
,2020-03-28,477,4,11731,23,7,0,2498,22,46087,164,57,29
,2020-03-29,342,0,6117,28,15,55,2840,22,52204,192,72,84
