"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
HIV/AIDS -  Drug-susceptible Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),--
HIV/AIDS -  Drug-susceptible Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.","0.408
(0.274-0.549)"
HIV/AIDS -  Drug-susceptible Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),--
HIV/AIDS -  Drug-susceptible Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),--
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.","0.408
(0.274-0.549)"
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),--
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),--
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),--
HIV/AIDS - Extensively drug-resistant Tuberculosis with mild anemia,"Tuberculosis, HIV infected and anemia, mild",(combined DW),--
HIV/AIDS - Extensively drug-resistant Tuberculosis with moderate anemia,"Tuberculosis, HIV infected and anemia, moderate",(combined DW),--
HIV/AIDS - Extensively drug-resistant Tuberculosis with severe anemia,"Tuberculosis, HIV infected and anemia, severe",(combined DW),--
HIV/AIDS - Extensively drug-resistant Tuberculosis without anemia,"Tuberculosis, HIV infected","has a persistent cough and fever, shortness of breath, night sweats, weakness and fatigue and severe weight loss.","0.408
(0.274-0.549)"
HIV/AIDS with antiretroviral treatment without anemia,"HIV/AIDS cases, receiving ARV treatment",has occasional fevers and infections. The person takes daily medication that sometimes causes diarrhea.,"0.078
(0.052-0.111)"
AIDS without anemia,"AIDS cases, not receiving ARV treatment","has severe weight loss, weakness, fatigue, cough and fever, and frequent infections, skin rashes and diarrhea. ","0.582
(0.406-0.743)"
AIDS with severe anemia,"AIDS cases, not receiving ARV treatment and anemia, severe",(combined DW),--
AIDS with moderate anemia,"AIDS cases, not receiving ARV treatment and anemia, moderate",(combined DW),--
AIDS with mild anemia,"AIDS cases, not receiving ARV treatment and anemia, mild",(combined DW),--
HIV/AIDS with antiretroviral treatment with severe anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, severe",(combined DW),--
HIV/AIDS with antiretroviral treatment with moderate anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, moderate",(combined DW),--
Symptomatic HIV without anemia,"HIV cases, symptomatic, pre-AIDS","has weight loss, fatigue, and frequent infections.","0.274
(0.184-0.377)"
Symptomatic HIV with severe anemia,"HIV cases, symptomatic, pre-AIDS and anemia, severe",(combined DW),--
Symptomatic HIV with moderate anemia,"HIV cases, symptomatic, pre-AIDS and anemia, moderate",(combined DW),--
Symptomatic HIV with mild anemia,"HIV cases, symptomatic, pre-AIDS and anemia, mild",(combined DW),--
Early HIV without anemia,Generic uncomplicated disease: anxiety about diagnosis,has a disease diagnosis that causes some worry but minimal interference with daily activities.,"0.012
(0.006-0.023)"
Early HIV with severe anemia,"Anemia, severe; Generic uncomplicated disease anxiety",--,--
HIV/AIDS with antiretroviral treatment with mild anemia,"HIV/AIDS cases, receiving ARV treatment and anemia, mild",(combined DW),--
Early HIV with mild anemia,"Anemia, mild; Generic uncomplicated disease anxiety",--,--
Early HIV with moderate anemia,"Anemia, moderate; Generic uncomplicated disease anxiety",--,--
"Severe disfigurement, neurological problems, and cardiovascular complications due to adult tertiary syphilis","Level 3 disfigurement, moderate motor plus cognitive impairments, and moderate infectious disease, acute episode",(combined DW),--
Asymptomatic early syphilis infection,--,--,--
Cardiovascular complications due to adult tertiary syphilis,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Asymptomatic adult tertiary syphilis,--,--,--
Severe disfigurement and cardiovascular complications due to adult tertiary syphilis,"Level 3 disfigurement and moderate infectious disease, acute episode",(combined DW),--
Neurological problems and cardiovascular complications due to adult tertiary syphilis,"Moderate motor plus cognitive impairments and moderate infectious disease, acute episode",(combined DW),--
