measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Canada,Male,1 to 4,Diabetes mellitus,Number,2017,30.099977957927166,45.75418769101708,18.28834603880347
YLLs (Years of Life Lost),Canada,Female,1 to 4,Diabetes mellitus,Number,2017,26.376395582603706,38.14637904492523,16.791891058473762
YLLs (Years of Life Lost),Canada,Both,1 to 4,Diabetes mellitus,Number,2017,56.47637354053098,78.84326359872273,38.701559425176214
YLLs (Years of Life Lost),Canada,Male,5 to 9,Diabetes mellitus,Number,2017,12.088127718287426,21.88399508324266,7.6932601205443945
YLLs (Years of Life Lost),Canada,Female,5 to 9,Diabetes mellitus,Number,2017,16.763776710782594,25.761637080542606,11.020914032000958
YLLs (Years of Life Lost),Canada,Both,5 to 9,Diabetes mellitus,Number,2017,28.851904429069993,45.150756490225916,21.057941244981286
YLLs (Years of Life Lost),Canada,Male,10 to 14,Diabetes mellitus,Number,2017,30.257408677423506,54.43945600972195,19.030081557150062
YLLs (Years of Life Lost),Canada,Female,10 to 14,Diabetes mellitus,Number,2017,39.30300341961422,62.43456812106325,25.396336548448797
YLLs (Years of Life Lost),Canada,Both,10 to 14,Diabetes mellitus,Number,2017,69.56041209703783,106.8938351486676,50.86658880894541
YLLs (Years of Life Lost),Canada,Male,15 to 19,Diabetes mellitus,Number,2017,94.23290920084783,124.78589344789856,68.85123472719727
YLLs (Years of Life Lost),Canada,Female,15 to 19,Diabetes mellitus,Number,2017,81.16481503315177,109.80434072474037,58.793243900473556
YLLs (Years of Life Lost),Canada,Both,15 to 19,Diabetes mellitus,Number,2017,175.3977242339997,216.73408464619627,140.90218391485058
YLLs (Years of Life Lost),Canada,Male,20 to 24,Diabetes mellitus,Number,2017,248.79567387407369,324.6323946885268,185.8231292925484
YLLs (Years of Life Lost),Canada,Female,20 to 24,Diabetes mellitus,Number,2017,172.31831346105778,231.2698760786703,126.4429295378561
YLLs (Years of Life Lost),Canada,Both,20 to 24,Diabetes mellitus,Number,2017,421.11398733513164,506.7823825777608,340.79224535115776
YLLs (Years of Life Lost),Canada,Male,25 to 29,Diabetes mellitus,Number,2017,456.9048184112418,584.945945643512,348.4977369974333
YLLs (Years of Life Lost),Canada,Female,25 to 29,Diabetes mellitus,Number,2017,260.26075798052483,353.5501368901018,182.34307393409094
YLLs (Years of Life Lost),Canada,Both,25 to 29,Diabetes mellitus,Number,2017,717.1655763917672,884.302484994557,581.4209669560123
YLLs (Years of Life Lost),Canada,Male,30 to 34,Diabetes mellitus,Number,2017,732.2799653017441,959.0234924605513,553.2885013641794
YLLs (Years of Life Lost),Canada,Female,30 to 34,Diabetes mellitus,Number,2017,403.09219704599053,527.7865747755741,303.8673248549039
