measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Canada,Male,1 to 4,Asthma,Number,2017,92559.2771082,128174.658969,62910.3726116
Prevalence,Canada,Female,1 to 4,Asthma,Number,2017,44930.2998623,65329.21171,28747.8120073
Prevalence,Canada,Both,1 to 4,Asthma,Number,2017,137489.576971,189086.526303,92221.2075248
Prevalence,Canada,Male,1 to 4,Asthma,Percent,2017,0.157991244636,0.214392483009,0.110296867205
Prevalence,Canada,Female,1 to 4,Asthma,Percent,2017,0.0779136683814,0.113184894626,0.0495849351462
Prevalence,Canada,Both,1 to 4,Asthma,Percent,2017,0.118268908933,0.160336054111,0.0803490567537
Prevalence,Canada,Male,5 to 9,Asthma,Number,2017,126144.347141,177249.869776,86994.8699055
Prevalence,Canada,Female,5 to 9,Asthma,Number,2017,67551.9296377,97047.7788947,44029.0645849
Prevalence,Canada,Both,5 to 9,Asthma,Number,2017,193696.276779,271778.624702,130789.534089
Prevalence,Canada,Male,5 to 9,Asthma,Percent,2017,0.152288928074,0.210830841126,0.104035528225
Prevalence,Canada,Female,5 to 9,Asthma,Percent,2017,0.0833460810566,0.117460573841,0.0550745216316
Prevalence,Canada,Both,5 to 9,Asthma,Percent,2017,0.118187255867,0.164292580986,0.0801266872825
Prevalence,Canada,Male,10 to 14,Asthma,Number,2017,74919.5282371,97803.3010543,54034.5554304
Prevalence,Canada,Female,10 to 14,Asthma,Number,2017,49142.571105,64491.9309292,34653.5465901
Prevalence,Canada,Both,10 to 14,Asthma,Number,2017,124062.099342,160448.96582,90208.1919195
Prevalence,Canada,Male,10 to 14,Asthma,Percent,2017,0.0896283321322,0.117972982441,0.0641481154535
Prevalence,Canada,Female,10 to 14,Asthma,Percent,2017,0.057945487078,0.0765013935192,0.0410200527966
Prevalence,Canada,Both,10 to 14,Asthma,Percent,2017,0.073670413804,0.0954761227891,0.0536467478077
Prevalence,Canada,Male,15 to 19,Asthma,Number,2017,42438.2251669,55775.5980759,30740.6940129
Prevalence,Canada,Female,15 to 19,Asthma,Number,2017,45654.3839014,59152.496682,32758.1598711
Prevalence,Canada,Both,15 to 19,Asthma,Number,2017,88092.6090683,113645.871571,65125.6732345
Prevalence,Canada,Male,15 to 19,Asthma,Percent,2017,0.0468047424102,0.0609921137615,0.0337592603368
Prevalence,Canada,Female,15 to 19,Asthma,Percent,2017,0.0484804953795,0.0629587089575,0.0348260838045
Prevalence,Canada,Both,15 to 19,Asthma,Percent,2017,0.0476570205027,0.0614320958174,0.0353543829238
Prevalence,Canada,Male,20 to 24,Asthma,Number,2017,32161.3926969,42340.1688979,22621.6006146
Prevalence,Canada,Female,20 to 24,Asthma,Number,2017,47378.598936,62808.6008207,33814.9926693
Prevalence,Canada,Both,20 to 24,Asthma,Number,2017,79539.9916329,103842.675947,56901.3759315
Prevalence,Canada,Male,20 to 24,Asthma,Percent,2017,0.0308455466387,0.0404811443177,0.0217760596767
Prevalence,Canada,Female,20 to 24,Asthma,Percent,2017,0.0441747858392,0.058251204474,0.0314734777436
Prevalence,Canada,Both,20 to 24,Asthma,Percent,2017,0.037603505346,0.0485314808071,0.0269220985796
Prevalence,Canada,Male,25 to 29,Asthma,Number,2017,31170.9205297,40851.5021931,23237.8032125
Prevalence,Canada,Female,25 to 29,Asthma,Number,2017,51771.2970106,66922.7702646,38136.5160107
Prevalence,Canada,Both,25 to 29,Asthma,Number,2017,82942.2175403,107789.222197,61108.4233006
Prevalence,Canada,Male,25 to 29,Asthma,Percent,2017,0.0282705451334,0.0368004557101,0.0211375822137
Prevalence,Canada,Female,25 to 29,Asthma,Percent,2017,0.0448979557038,0.0579665573104,0.0331494105294
Prevalence,Canada,Both,25 to 29,Asthma,Percent,2017,0.0367700376851,0.0476182053007,0.0271324780491
